"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 16 05:55:34 GMT 2026","Mon Feb 16 05:55:34 GMT 2026","215","tests","test_pet","TestPet","","","Update pet by id (negative)",""
"skipped","Mon Feb 16 05:55:32 GMT 2026","Mon Feb 16 05:55:32 GMT 2026","238","tests","test_pet","TestPet","","","Create pet with invalid data",""
"passed","Mon Feb 16 05:55:30 GMT 2026","Mon Feb 16 05:55:31 GMT 2026","624","tests","test_pet","TestPet","","","Uploads an image",""
"skipped","Mon Feb 16 05:55:35 GMT 2026","Mon Feb 16 05:55:35 GMT 2026","215","tests","test_pet","TestPet","","","Find pet by id (negative)",""
"passed","Mon Feb 16 05:55:32 GMT 2026","Mon Feb 16 05:55:33 GMT 2026","416","tests","test_pet","TestPet","","","Find pet by status",""
"skipped","Mon Feb 16 05:55:34 GMT 2026","Mon Feb 16 05:55:34 GMT 2026","220","tests","test_pet","TestPet","","","Update pet by id (negative)",""
"passed","Mon Feb 16 05:55:34 GMT 2026","Mon Feb 16 05:55:34 GMT 2026","222","tests","test_pet","TestPet","","","Update an existing pet",""
"passed","Mon Feb 16 05:55:36 GMT 2026","Mon Feb 16 05:55:36 GMT 2026","222","tests","test_pet","TestPet","","","Deletes a pet (negative)",""
"passed","Mon Feb 16 05:55:34 GMT 2026","Mon Feb 16 05:55:35 GMT 2026","395","tests","test_pet","TestPet","","","Find pet by id",""
"skipped","Mon Feb 16 05:55:31 GMT 2026","Mon Feb 16 05:55:32 GMT 2026","191","tests","test_pet","TestPet","","","Create pet with invalid data",""
"skipped","Mon Feb 16 05:55:32 GMT 2026","Mon Feb 16 05:55:32 GMT 2026","194","tests","test_pet","TestPet","","","Create pet with invalid data",""
"passed","Mon Feb 16 05:55:36 GMT 2026","Mon Feb 16 05:55:36 GMT 2026","441","tests","test_pet","TestPet","","","Deletes a pet",""
"passed","Mon Feb 16 05:55:36 GMT 2026","Mon Feb 16 05:55:37 GMT 2026","217","tests","test_pet","TestPet","","","Deletes a pet (negative)",""
"passed","Mon Feb 16 05:55:35 GMT 2026","Mon Feb 16 05:55:36 GMT 2026","417","tests","test_pet","TestPet","","","Updates a pet in the store with form data",""
"passed","Mon Feb 16 05:55:35 GMT 2026","Mon Feb 16 05:55:35 GMT 2026","240","tests","test_pet","TestPet","","","Find pet by id (negative)",""
"passed","Mon Feb 16 05:55:33 GMT 2026","Mon Feb 16 05:55:33 GMT 2026","200","tests","test_pet","TestPet","","","Find pet by status",""
"passed","Mon Feb 16 05:55:33 GMT 2026","Mon Feb 16 05:55:33 GMT 2026","219","tests","test_pet","TestPet","","","Find pet by status",""
"skipped","Mon Feb 16 05:55:32 GMT 2026","Mon Feb 16 05:55:32 GMT 2026","216","tests","test_pet","TestPet","","","Create pet with invalid data",""
"passed","Mon Feb 16 05:55:31 GMT 2026","Mon Feb 16 05:55:31 GMT 2026","219","tests","test_pet","TestPet","","","Add pet to the store",""
"skipped","Mon Feb 16 05:55:32 GMT 2026","Mon Feb 16 05:55:32 GMT 2026","218","tests","test_pet","TestPet","","","Create pet with invalid data",""
"skipped","Mon Feb 16 05:55:34 GMT 2026","Mon Feb 16 05:55:34 GMT 2026","192","tests","test_pet","TestPet","","","Update pet by id (negative)",""
"skipped","Mon Feb 16 05:55:33 GMT 2026","Mon Feb 16 05:55:34 GMT 2026","193","tests","test_pet","TestPet","","","Find pet by status",""
